rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rx1,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rwin
-243,-1756,-1998,-2654,-5620,-7272,-7798,-8787,-10137,-11052,-539,-1685,-2340,-3561,-6611,-7599,-6178,-6365,-7728,-7782,0
994,1150,1941,4161,947,1823,2683,-2646,-4017,-9052,1030,1495,1543,2643,-50,549,813,-5482,-3963,-6384,0
297,2303,3448,3090,8560,13281,18482,17723,19134,19812,574,440,-40,86,5390,9183,14605,11881,7708,12237,1
-755,-769,-2595,-6947,-8188,-8259,-5261,-8759,-11733,-9633,-581,-754,-156,-782,-4820,-2135,2095,-3714,-6514,-5263,0
-47,907,884,1520,1854,1744,3272,624,-3489,-13160,597,777,181,-1311,-1419,2370,6765,1378,-5532,-7512,0
340,749,2092,3412,3925,2675,2693,8314,-810,-9831,-282,475,1562,2802,1280,-2197,823,2866,-9042,-15640,0
390,449,-3547,-6154,-7008,-8058,-11336,-10952,-16072,-21586,-868,-1062,-5121,-7535,-7100,-11671,-15401,-16950,-14444,-19182,0
511,1139,881,2808,4536,5289,6994,8610,8431,13804,-1,-47,101,614,1252,2155,3500,3835,4146,10788,1
962,1526,-129,494,1092,-3433,2351,2656,3104,7206,17,1704,1644,1821,-569,-13106,4215,3680,3665,2364,1
-447,-1166,-2039,-1287,-3981,-5367,-7404,-9429,-11311,-19798,-457,-1587,-2104,-2539,-5908,-8603,-11901,-17982,-22197,-37892,0
-594,-594,-795,-427,629,812,993,750,216,6915,-574,-588,-540,-73,1197,1939,4524,5770,9042,18081,1
207,-599,-240,36,279,2616,4550,5893,8315,14517,29,-815,-1557,-2294,-1242,1123,599,1753,373,4251,1
-189,1996,3281,7252,4290,9697,8485,8741,8431,17247,-441,1431,2016,3730,1214,6515,160,2121,5870,14803,1
-90,922,1406,3367,3382,4905,3553,5697,8078,17566,396,1744,2068,4982,4862,7098,6173,12002,16063,29217,1
-580,-947,-919,-3379,-1698,-4605,-1971,-134,313,1901,-1545,-1533,-191,-2345,-1445,-6679,-5853,-406,9138,2557,1
1184,1356,3586,5156,6983,1436,-474,-9485,-8147,-12608,-360,-806,-548,-508,2480,-7428,-9107,-15397,-9910,-13815,0
212,-520,699,1637,2673,2074,-508,2781,6486,6121,-955,-917,1021,2060,1816,1713,-1541,2731,557,-2764,1
-667,-1146,-1384,-742,-795,-1146,-1551,-2211,-2333,-6343,-418,-676,-495,-181,102,-270,1115,345,-73,-1575,0
168,600,2034,3496,5319,9330,9904,7807,7861,7228,466,845,2232,3902,7243,9323,8916,5254,4246,4069,1
-283,94,834,338,-587,-1003,-1860,-5033,-7115,-10540,-546,-883,-666,74,-3035,-3782,-6058,-11065,-12312,-22043,0
-1393,-3732,-5532,-8816,-10670,-14405,-15541,-17819,-15811,-18250,-1473,-4847,-6053,-7920,-8223,-14538,-12828,-14131,-5932,-3358,1
845,-1223,-414,-421,376,1965,-2526,-1032,-6902,-8239,682,-1218,104,-275,1242,3045,841,2851,-149,4801,0
710,1242,926,1910,3515,7836,4544,4563,12108,16589,882,1457,3322,6844,6598,15992,5990,1839,4633,6840,1
110,507,2386,6083,5629,4572,4405,13461,9453,2605,170,1484,4538,9093,7059,4839,9044,13051,4681,-1999,1
80,13,954,1425,654,-843,-2948,-1430,-482,10413,-152,-1070,-576,-1212,-2434,-2280,-6532,-5169,-4124,7822,1
-837,-583,98,-8,199,1769,277,617,-2760,-13514,-1407,-1445,-294,227,3071,4933,2447,4788,8386,4595,0
-335,-459,389,977,3545,5268,7409,10198,15810,18589,90,-76,1553,1806,5875,8049,11543,15268,23006,24601,1
-1028,-1289,-2445,-2227,-2143,-1976,-3374,-16,4330,6740,-413,-107,-568,-926,-238,1457,-443,5907,16877,16867,1
181,66,437,1062,1530,2436,3255,9709,12558,14652,366,841,1057,776,1592,1493,3921,12603,18172,25014,1
-264,-537,-363,-183,3493,3631,6945,9460,11168,15353,27,-406,45,716,3098,3176,4055,7720,9592,12632,1
522,-120,-2167,-4037,-2108,-694,-1349,401,-58,7573,-91,-1224,-4290,-5793,-2956,-675,2687,5323,4533,8714,1
257,65,-1385,-3950,-6276,-4556,-9327,-13174,-18325,-20575,327,-209,-268,-2650,-5088,-1793,-8346,-13385,-16513,-21624,0
402,1463,2487,2959,2981,5544,8795,11514,10865,12884,-489,-277,645,580,-1310,1315,4302,8555,6942,5701,1
-924,-1087,-3822,-5454,-7849,-11657,-17227,-17446,-23469,-25496,190,1168,658,-2327,-8848,-14454,-21805,-19702,-21480,-18745,0
-427,-37,1930,2805,2974,4324,7849,11414,12842,16757,438,659,1944,2097,3652,5501,9181,12963,12487,20097,1
-537,-1339,-1444,-2034,-2159,-3880,-4030,-5463,-9202,-15220,-317,-1007,-1201,-1696,-1626,-3763,-4359,-6679,-12470,-22785,0
1305,976,3851,4728,6280,10328,8689,12787,16827,22425,677,111,4200,4832,4303,10630,6017,12015,19980,23635,1
-667,-653,-1818,-2494,-2674,-2417,-2461,1539,1908,9796,-819,-561,-652,-577,-655,-3226,-1855,4327,8208,17775,1
-291,-328,-1136,-964,-477,390,1144,2904,4917,5831,314,716,325,876,1003,2431,4297,5376,10107,9379,1
200,441,-938,630,3100,1756,401,2689,7949,16415,-259,484,259,1938,7664,7670,7321,11300,22741,30228,1
500,-26,-314,-34,766,4762,10111,7694,8355,7797,627,192,-479,-2540,94,5502,3690,-484,2815,4630,1
-378,-179,586,68,-2148,-2627,-5874,-11735,-17905,-19911,84,310,1149,1290,961,1954,-2784,-3953,-5382,-6437,0
862,239,-981,-880,-1881,-1702,-1685,46,-3251,-14033,244,821,-1299,-3895,-5574,-678,-3883,1091,-8242,-12338,0
1139,-131,-855,1005,182,3210,4218,7881,4242,-3355,139,-2805,-3671,-2448,-8240,-9685,-7558,7475,3897,-1300,1
-279,78,1119,1510,2616,5485,5906,8177,9599,12641,60,739,1806,2523,3154,5547,5251,7564,7847,13662,1
-1239,-1216,-1015,-775,-2130,-2793,-2977,-4076,-8020,-17277,-1073,-998,-1561,-1807,-1825,-6190,-3490,-5132,-11423,-20532,0
-749,-140,24,471,1468,1094,1923,5732,9514,12107,-651,-33,218,622,2041,2433,2758,6386,10166,11861,1
1143,1400,1565,3063,2926,-567,-1434,-10,1540,-5870,769,226,54,-173,-44,-2870,-3347,-1389,328,-10364,0
698,2196,3751,6287,7462,10710,9788,10447,12281,13573,198,1721,3691,5490,6689,8981,6796,8705,11878,18705,1
136,872,1728,1810,2271,-232,541,5966,8343,8374,-364,396,-2124,-724,-1699,-4883,442,4518,6306,7512,1
368,-804,-527,-2100,-2635,-2036,-3643,-3002,-7097,-10788,271,344,49,-654,-556,-293,-4173,-3235,-11050,-12835,0
37,-1100,412,-2397,-851,-5613,-4320,-8886,-9864,-14469,-143,-2815,-1714,-3293,-4476,-10468,-8356,-10873,-9076,-9007,0
996,2023,4621,7512,11874,8635,9617,12400,10252,14346,18,620,568,3632,6291,2045,-974,6912,8964,10863,1
29,151,837,33,-743,-1431,-2327,-6884,-7902,-8028,-249,-448,-252,-687,-2021,-5029,-5982,-12132,-11751,-13799,0
-50,-154,66,-1784,-1516,-4018,-7200,-11548,-10220,-24496,715,666,1004,231,1821,-3109,-8796,-20100,-17140,-30777,0
-625,-512,-1516,-2582,-4424,-6100,-7347,-10097,-11657,-22286,-414,-156,-1065,-3447,-6003,-7484,-10094,-15009,-18481,-27182,0
-468,-272,778,1119,2959,-298,-1617,9969,10387,14157,-147,117,1363,3208,4789,-1943,-5459,8910,6830,13003,1
-240,1002,1905,1080,1424,971,1426,753,342,3654,-416,1082,1942,1933,2092,2074,2214,1316,-2388,6654,1
-489,-490,59,-84,586,3728,6741,9916,7070,5951,552,527,528,74,1290,3283,7017,10249,7655,6722,1
918,713,456,-748,-534,-491,-1656,-15,4402,10275,447,-154,-425,-475,-285,-1753,-6404,-2952,3692,14162,1
480,-451,915,1088,4386,6903,7534,11011,7747,9944,-179,-1863,-2131,-3916,1124,4437,4347,4809,-3349,-4507,1
-1,-1425,-1431,-1589,-1490,-3998,-5617,-6742,-9014,-10626,-196,-820,-1470,-1287,-1465,-3678,-6467,-8487,-11326,-11472,0
-1662,-1724,-4168,-5107,-7846,-3842,-3666,-3868,-4179,-17927,-1749,-2176,-3990,-5735,-8556,-5529,-5399,-9470,-13153,-17868,0
-215,774,1346,2240,1031,4478,10131,13817,14346,17377,354,1421,4274,2361,3787,13216,18731,26039,28662,29360,1
-54,-1434,-1911,-1882,-3066,-5691,-6302,-7353,-10228,-15318,73,-1883,-1987,-2986,-4368,-7407,-8248,-10497,-12088,-16308,0
1489,3025,4892,4950,5675,3349,11304,16867,18237,20929,426,1528,4036,4652,3470,3681,17000,20435,19242,21443,1
-377,-985,-1984,-1692,-1463,-5338,-7212,-15926,-19419,-24661,-615,-1962,-2023,-2630,-3402,-5730,-7971,-19503,-21280,-20854,0
119,315,1287,-213,-3349,-3654,-4701,-9080,-10473,-17470,-552,74,1138,1571,-3628,-5733,-7019,-9078,-13421,-18965,0
